2025-04-10 18:30:01,AIXBT / WETH 0.3%,565840.044058223
2025-04-10 18:30:01,$COLLAT / SOL,338318.273030026
2025-04-10 18:30:01,RFC / SOL,1593237.2730106
2025-04-10 18:30:01,TRUMP / USDC,39953927.8858608
2025-04-10 18:30:01,PX / TON,136757.194594953
2025-04-10 18:30:01,VVV / WETH,364910.275748028
2025-04-10 18:30:01,PEPE / WETH,1148275.30063275
2025-04-10 18:30:01,ROCKET / WBNB,2563905.50835329
2025-04-10 18:30:01,Ghibli / WBNB 0.25%,335096.057625128
2025-04-10 18:30:01,VINE / SOL,1602795.15119822
2025-04-10 18:36:01,ESCAPE / WPEPU 1%,1922691.69035398
2025-04-10 18:36:01,DARK / SOL,23075826.7771229
2025-04-10 18:36:01,$MATRIX / WPEPU 1%,264625.435910983
2025-04-10 18:36:01,PEPU / WETH 0.3%,289238.920486952
2025-04-10 18:36:01,Fartcoin / SOL,79784141.5743584
2025-04-10 18:36:01,BUTTCOIN / SOL,4760665.31624407
2025-04-10 18:36:01,GROK / WETH,5554403.6253599
2025-04-10 18:36:01,TOSHI / WETH 1%,260399.085516998
2025-04-10 18:36:01,MEMDEX / SOL,894292.56989782
2025-04-10 18:36:01,titcoin / SOL,6273377.83615622
2025-04-10 18:36:01,Ghibli / SOL,2291062.68541849
2025-04-10 18:36:01,401K / SOL,3084318.07662571
2025-04-10 18:36:01,TRUMP / WETH,2963036.04284549
2025-04-10 18:36:01,FPIBANK / TON,175112.864382487
2025-04-10 18:36:01,ACT / SOL,3224597.21220585
2025-04-10 18:36:01,BNKR / WETH 1%,258519.107655858
2025-04-10 18:36:01,doginme / WETH 1%,706818.436582758
2025-04-10 18:36:01,LGNS / DAI,8520919.42625965
2025-04-10 18:36:01,WEPE / WETH 0.3%,76248.1843363831
2025-04-10 18:36:01,FISH2 / WETH,298145.661292468
2025-04-10 18:36:01,Figure / SOL,5576084.65775318
2025-04-10 18:36:01,mubarak / WBNB,59199.0610970318
2025-04-10 18:36:01,KTA / WETH,2167177.32179435
2025-04-10 18:36:01,MAG / SOL,1859211.68465909
2025-04-10 18:36:01,CLIZA / WETH 1%,126680.160879078
2025-04-10 18:36:01,NYAN / SOL,425624.643973541
2025-04-10 18:36:01,AERO / USDC,4913700.94104812
2025-04-10 18:36:01,SOL / USDC,209005833.110318
2025-04-10 18:36:01,Mubarakah / WBNB 0.25%,454299.084385054
2025-04-10 18:36:01,A1C / WETH,96819.4156192201
2025-04-10 18:36:01,COW / WBNB,1287023.77367516
2025-04-10 18:36:01,SNAI / SOL,687862.939021655
2025-04-10 18:36:01,SNOR / WBNB,397013.497292991
2025-04-10 18:36:01,SPX / WETH,2893699.14737623
2025-04-10 18:36:01,TRUMP / USDC,39188529.8978511
2025-04-10 18:36:01,pwease / SOL,1432535.96869724
2025-04-10 18:36:01,House / SOL,3814925.67539322
2025-04-10 18:36:01,Buckazoids / SOL,2993335.99786876
2025-04-10 18:36:01,mubarak / WBNB 0.25%,820253.711120843
2025-04-10 18:36:01,AIXBT / WETH 0.3%,565928.521348223
2025-04-10 18:36:01,XRP / USDT 0.25%,1303201.87226908
2025-04-10 18:36:01,RIBBIT / VIRTUAL,123500.547855596
2025-04-10 18:36:01,$COLLAT / SOL,335536.496157775
2025-04-10 18:36:01,RFC / SOL,1587846.33245628
2025-04-10 18:36:01,PX / TON,136600.420029317
2025-04-10 18:36:01,PEPE / WETH,1149584.8015646
2025-04-10 18:36:01,VVV / WETH,366212.749620133
2025-04-10 18:36:01,ROCKET / WBNB,2550745.53878045
2025-04-10 18:36:01,VINE / SOL,1611345.76605082
2025-04-10 18:36:01,Ghibli / WBNB 0.25%,334319.718132845
2025-04-10 18:42:01,ESCAPE / WPEPU 1%,1923254.32875958
2025-04-10 18:42:01,DARK / SOL,23100891.4652392
2025-04-10 18:42:01,$MATRIX / WPEPU 1%,264996.378315091
2025-04-10 18:42:01,PEPU / WETH 0.3%,289218.259081661
2025-04-10 18:42:01,Fartcoin / SOL,79361247.3023896
